"Visitor arrival totals (Monthly)","","","",""
"","Actual Counts","Seasonally Adjusted","Trend","Counts Derived from a Sample"
"1937M11",1787,"..","..",1787
"1937M12",2761,"..","..",2761
"1938M01",2160,"..","..",2160
"1938M02",2246,"..","..",2246
"1938M03",1780,"..","..",1780
"1938M04",1111,"..","..",1111
"1938M05",878,"..","..",878
"1938M06",615,"..","..",615
"1938M07",803,"..","..",803
"1938M08",721,"..","..",721
"1938M09",841,"..","..",841
"1938M10",1265,"..","..",1265
"1938M11",1659,"..","..",1659
"1938M12",2345,"..","..",2345
"1939M01",2749,"..","..",2749
"1939M02",2078,"..","..",2078
"1939M03",1758,"..","..",1758
"1939M04",1310,"..","..",1310
"1939M05",892,"..","..",892
"1939M06",684,"..","..",684
"1939M07",616,"..","..",616
"1939M08",808,"..","..",808
"1939M09",799,"..","..",799
"1939M10",762,"..","..",762
"1939M11",686,"..","..",686
"1939M12",1009,"..","..",1009
"1940M01",877,"..","..",877
"1940M02",859,"..","..",859
"1940M03",638,"..","..",638
"1940M04",669,"..","..",669
"1940M05",431,"..","..",431
"1940M06",367,"..","..",367
"1940M07",474,"..","..",474
"1940M08",387,"..","..",387
"1940M09",726,"..","..",726
"1940M10",695,"..","..",695
"1940M11",649,"..","..",649
"1940M12",620,"..","..",620
"1941M01",769,"..","..",769
"1941M02",411,"..","..",411
"1941M03",399,"..","..",399
"1941M04",382,"..","..",382
"1941M05",405,"..","..",405
"1941M06",226,"..","..",226
"1941M07",281,"..","..",281
"1941M08",231,"..","..",231
"1941M09",236,"..","..",236
"1941M10",442,"..","..",442
"1941M11",325,"..","..",325
"1941M12",355,"..","..",355
"1942M01",117,"..","..",117
"1942M02",108,"..","..",108
"1942M03",214,"..","..",214
"1942M04",40,"..","..",40
"1942M05",134,"..","..",134
"1942M06",88,"..","..",88
"1942M07",98,"..","..",98
"1942M08",70,"..","..",70
"1942M09",96,"..","..",96
"1942M10",79,"..","..",79
"1942M11",131,"..","..",131
"1942M12",159,"..","..",159
"1943M01",112,"..","..",112
"1943M02",204,"..","..",204
"1943M03",174,"..","..",174
"1943M04",128,"..","..",128
"1943M05",119,"..","..",119
"1943M06",104,"..","..",104
"1943M07",87,"..","..",87
"1943M08",74,"..","..",74
"1943M09",92,"..","..",92
"1943M10",140,"..","..",140
"1943M11",192,"..","..",192
"1943M12",250,"..","..",250
"1944M01",179,"..","..",179
"1944M02",162,"..","..",162
"1944M03",301,"..","..",301
"1944M04",188,"..","..",188
"1944M05",152,"..","..",152
"1944M06",192,"..","..",192
"1944M07",181,"..","..",181
"1944M08",132,"..","..",132
"1944M09",249,"..","..",249
"1944M10",1085,"..","..",1085
"1944M11",240,"..","..",240
"1944M12",392,"..","..",392
"1945M01",217,"..","..",217
"1945M02",321,"..","..",321
"1945M03",291,"..","..",291
"1945M04",324,"..","..",324
"1945M05",194,"..","..",194
"1945M06",196,"..","..",196
"1945M07",233,"..","..",233
"1945M08",181,"..","..",181
"1945M09",413,"..","..",413
"1945M10",533,"..","..",533
"1945M11",448,"..","..",448
"1945M12",299,"..","..",299
"1946M01",688,"..","..",688
"1946M02",1314,"..","..",1314
"1946M03",437,"..","..",437
"1946M04",916,"..","..",916
"1946M05",484,"..","..",484
"1946M06",317,"..","..",317
"1946M07",318,"..","..",318
"1946M08",799,"..","..",799
"1946M09",528,"..","..",528
"1946M10",755,"..","..",755
"1946M11",767,"..","..",767
"1946M12",1349,"..","..",1349
"1947M01",1124,"..","..",1124
"1947M02",885,"..","..",885
"1947M03",951,"..","..",951
"1947M04",736,"..","..",736
"1947M05",719,"..","..",719
"1947M06",662,"..","..",662
"1947M07",601,"..","..",601
"1947M08",490,"..","..",490
"1947M09",777,"..","..",777
"1947M10",863,"..","..",863
"1947M11",1158,"..","..",1158
"1947M12",1564,"..","..",1564
"1948M01",1446,"..","..",1446
"1948M02",1491,"..","..",1491
"1948M03",970,"..","..",970
"1948M04",858,"..","..",858
"1948M05",708,"..","..",708
"1948M06",446,"..","..",446
"1948M07",566,"..","..",566
"1948M08",682,"..","..",682
"1948M09",476,"..","..",476
"1948M10",762,"..","..",762
"1948M11",944,"..","..",944
"1948M12",1603,"..","..",1603
"1949M01",1634,"..","..",1634
"1949M02",1719,"..","..",1719
"1949M03",1321,"..","..",1321
"1949M04",920,"..","..",920
"1949M05",761,"..","..",761
"1949M06",642,"..","..",642
"1949M07",567,"..","..",567
"1949M08",785,"..","..",785
"1949M09",811,"..","..",811
"1949M10",1208,"..","..",1208
"1949M11",1435,"..","..",1435
"1949M12",1756,"..","..",1756
"1950M01",2434,"..","..",2434
"1950M02",1993,"..","..",1993
"1950M03",1404,"..","..",1404
"1950M04",1050,"..","..",1050
"1950M05",1040,"..","..",1040
"1950M06",695,"..","..",695
"1950M07",829,"..","..",829
"1950M08",738,"..","..",738
"1950M09",879,"..","..",879
"1950M10",1595,"..","..",1595
"1950M11",1620,"..","..",1620
"1950M12",2239,"..","..",2239
"1951M01",2058,"..","..",2058
"1951M02",2185,"..","..",2185
"1951M03",1506,"..","..",1506
"1951M04",1045,"..","..",1045
"1951M05",722,"..","..",722
"1951M06",612,"..","..",612
"1951M07",725,"..","..",725
"1951M08",1019,"..","..",1019
"1951M09",945,"..","..",945
"1951M10",1677,"..","..",1677
"1951M11",1561,"..","..",1561
"1951M12",2418,"..","..",2418
"1952M01",2232,"..","..",2232
"1952M02",2450,"..","..",2450
"1952M03",1744,"..","..",1744
"1952M04",1355,"..","..",1355
"1952M05",1027,"..","..",1027
"1952M06",1016,"..","..",1016
"1952M07",814,"..","..",814
"1952M08",898,"..","..",898
"1952M09",1292,"..","..",1292
"1952M10",1575,"..","..",1575
"1952M11",1662,"..","..",1662
"1952M12",2550,"..","..",2550
"1953M01",2204,"..","..",2204
"1953M02",2558,"..","..",2558
"1953M03",1714,"..","..",1714
"1953M04",1342,"..","..",1342
"1953M05",1108,"..","..",1108
"1953M06",883,"..","..",883
"1953M07",929,"..","..",929
"1953M08",992,"..","..",992
"1953M09",1144,"..","..",1144
"1953M10",1491,"..","..",1491
"1953M11",1891,"..","..",1891
"1953M12",2463,"..","..",2463
"1954M01",2500,"..","..",2500
"1954M02",2631,"..","..",2631
"1954M03",2132,"..","..",2132
"1954M04",1451,"..","..",1451
"1954M05",1255,"..","..",1255
"1954M06",863,"..","..",863
"1954M07",956,"..","..",956
"1954M08",1011,"..","..",1011
"1954M09",1203,"..","..",1203
"1954M10",1844,"..","..",1844
"1954M11",1871,"..","..",1871
"1954M12",3194,"..","..",3194
"1955M01",3368,"..","..",3368
"1955M02",2540,"..","..",2540
"1955M03",2390,"..","..",2390
"1955M04",1504,"..","..",1504
"1955M05",1467,"..","..",1467
"1955M06",911,"..","..",911
"1955M07",1023,"..","..",1023
"1955M08",1171,"..","..",1171
"1955M09",1596,"..","..",1596
"1955M10",2024,"..","..",2024
"1955M11",2228,"..","..",2228
"1955M12",3336,"..","..",3336
"1956M01",3183,"..","..",3183
"1956M02",2659,"..","..",2659
"1956M03",2577,"..","..",2577
"1956M04",2171,"..","..",2171
"1956M05",1398,"..","..",1398
"1956M06",1061,"..","..",1061
"1956M07",1150,"..","..",1150
"1956M08",1332,"..","..",1332
"1956M09",1761,"..","..",1761
"1956M10",2441,"..","..",2441
